Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished
15213,3408 Parkview Avenue Apartments,"Oakland, Pittsburgh, PA",795 - 1395,1-3,1,,Y,N
15213,Dawson Village Apartments,"Oakland, Pittsburgh, PA",920,1,1,,Y,N
15213,Centre Towers Apartments,"Shadyside, Pittsburgh, PA",780 - 955,Studio-1,1,,N,N
15213,The Camelot Apartments,"North Oakland, Pittsburgh, PA",1392 - 2088,2,1-2,,N,N
15213,Schenley Apartments,"North Oakland, Pittsburgh, PA",1395 - 2750,1-2,1-2,,Y,N
15213,Oak Hill Apartments - Pittsburgh,"Terrace Village, Pittsburgh, PA",1080 - 1600,1-2,1-2,,Y,N
15213,Royal Windsor Apartments,"North Oakland, Pittsburgh, PA",825 - 969,Studio-1,1,,N,N
15213,University Commons Apartments,"North Oakland, Pittsburgh, PA",870 - 945,1,1,,N,N
15213,Neville Street Properties - Student Housing,"North Oakland, Pittsburgh, PA",1030,1,1,,N,N
15213,Sherwood Towers Apartments,"North Oakland, Pittsburgh, PA",1158 - 2497,Studio-3,1-2,,Y,N
15213,University Loft Apartments,"Oakland, Pittsburgh, PA",2575,3,2,,N,N
15213,Chalfont Apartments,"Shadyside, Pittsburgh, PA",Contact For Price,Studio-2,1-2,,Y,N
15213,Hampshire Hall Apartments,"Shadyside, Pittsburgh, PA",530 - 625,Studio-1,1,,N,Y
15213,Webster Hall Apartments,"North Oakland, Pittsburgh, PA",1850,2,2,,N,N
15213,3445 Parkview Ave #HOUSE,"Oakland, Pittsburgh, PA",2600,5,2.5,,N,N
15213,3201 Ophelia St,"Oakland, Pittsburgh, PA",1425,3,1,,N,N
15213,352 Melwood Ave,"North Oakland, Pittsburgh, PA",900,2,1,,Y,N
15213,335 Melwood Ave,"North Oakland, Pittsburgh, PA",850,2,1,,N,N
15213,514 Semple St #2,"Oakland, Pittsburgh, PA",1200,2,1,,N,N
15213,3237 Dawson St #2,"Oakland, Pittsburgh, PA",650,1,1,,N,Y
15213,3753 Childs St,"Oakland, Pittsburgh, PA",2250,4,2.5,1836 ,N,N
15213,3329 Parkview Ave,"Oakland, Pittsburgh, PA",2200,4,2,1300 ,N,N
