name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
Eons Fashion Antique,5850 Ellsworth Ave,Pittsburgh,PA,15232,40.4568715,-79.9294162,4.5,26,1,"Arts & Crafts, Costumes, Fashion, Formal Wear, Used, Vintage & Consignment, Antiques, Shopping"
Carnegie Museum of Art,4400 Forbes Ave,Pittsburgh,PA,15213,40.4432834,-79.9502225,4.0,55,1,"Art Galleries, Shopping, Arts & Entertainment, Museums, Art Museums"
Hip'tique,5817 Ellsworth Ave,Pittsburgh,PA,15232,40.456626,-79.930517,4.5,5,0,"Home & Garden, Fashion, Women's Clothing, Furniture Stores, Shopping"
Top Notch Art Supply,411 S Craig St,Pittsburgh,PA,15213,40.4448537,-79.9483194,3.0,9,1,"Arts & Crafts, Art Supplies, Shopping"
Insomnia Cookies,115 Meyran Ave,Pittsburgh,PA,15213,40.4409588,-79.9586082,3.0,18,1,"Bakeries, Event Planning & Services, Caterers, Desserts, Ice Cream & Frozen Yogurt, Food"
Spice Cafe,328 Atwood St,Pittsburgh,PA,15213,40.438875,-79.955248,4.5,7,0,"Cafes, Nightlife, Restaurants, Bars, Pubs"
P Town,4740 Baum Blvd,Pittsburgh,PA,15213,40.4539049,-79.9488486,4.0,13,1,"Nightlife, Adult Entertainment, Gay Bars, Dance Clubs, Bars"
Sree's Foods,116 Meyran Ave,Pittsburgh,PA,15213,40.4407672,-79.9587973,3.0,8,1,"Pakistani, Indian, Restaurants, Food"
Oakland Fashion Optical,311 S Craig St,Pittsburgh,PA,15213,40.4454589,-79.9485178,5.0,6,1,"Eyewear & Opticians, Optometrists, Health & Medical, Shopping"
Consignments On Centre,5503 Centre Ave,Pittsburgh,PA,15232,40.4567042,-79.9363222,2.0,7,0,"Fashion, Accessories, Shopping, Women's Clothing"
"Pastoli's Pizza, Pasta & Paisans",1900 Murray Ave,Pittsburgh,PA,15217,40.4358226,-79.9230998,4.5,96,1,"Gluten-Free, Italian, Chicken Wings, Restaurants, Vegan, Pizza, Vegetarian"
Shadyside Commons,401 Amberson Ave,Pittsburgh,PA,15232,40.4531841,-79.9408445,2.0,3,1,"Apartments, Real Estate, Home Services"
Antoon's Pizza,247 Atwood St,Pittsburgh,PA,15213,40.4401567,-79.9561451,3.5,24,1,"Restaurants, Italian, Pizza"
Cinemagic Squirrel Hill Theatre,5824 Forward Ave,Pittsburgh,PA,15217,40.4295379,-79.9241188,2.0,5,0,"Cinema, Arts & Entertainment"
Pizza Hut,4048 Beechwood Blvd,Pittsburgh,PA,15217,40.4270688,-79.937582,1.5,3,0,"Restaurants, Italian, Pizza, Chicken Wings"
City Brew Tours Pittsburgh,112 Washington Pl,Pittsburgh,PA,15213,40.4394236,-79.9921601,5.0,22,1,"Beer Tours, Hotels & Travel, Bar Crawl, Tours, Event Planning & Services, Breweries, Team Building Activities, Nightlife, Food"
GWC Vape Shop,2010 Murray Ave,Pittsburgh,PA,15217,40.4343795,-79.9230379,3.5,6,1,"Bookstores, Vape Shops, Health & Medical, Head Shops, Tobacco Shops, Shopping, Home Services, Books, Mags, Music & Video, Glass & Mirrors"
Zen's Noodle House,3531 Forbes Ave,Pittsburgh,PA,15213,40.4405187,-79.9585673,3.5,77,1,"Noodles, Restaurants, Japanese, Ramen"
Petagogy,5880 Ellsworth Ave,Pittsburgh,PA,15232,40.4576629,-79.9280108,4.5,30,1,"Pet Stores, Pets"
Tip To Toe Day Spa,2205 Murray Ave,Pittsburgh,PA,15217,40.432602,-79.9228381,2.5,3,1,"Day Spas, Beauty & Spas"
Wendy's,5422 Baum Blvd,Pittsburgh,PA,15232,40.4571266518,-79.9377973675,2.0,37,1,"Fast Food, Restaurants, Burgers"
CVS Pharmacy,4610 Centre Ave,Pittsburgh,PA,15213,40.4517,-79.9515,3.0,15,1,"Shopping, Drugstores, Pharmacy, Health & Medical"
Chipotle Mexican Grill,3615 Forbes Ave,Pittsburgh,PA,15213,40.4410619,-79.9579981,3.5,65,1,"Mexican, Fast Food, Restaurants"
Little Caesars,5430 Centre Ave,Pittsburgh,PA,15232,40.455947,-79.9373708,2.0,11,0,"Restaurants, Pizza"
WRCT 88.3 FM,5000 Forbes Ave,Pittsburgh,PA,15213,40.4441647,-79.9433725,5.0,3,1,"Mass Media, Radio Stations"
Crazy Mocha,4400 Forbes Ave,Pittsburgh,PA,15213,40.4426973093,-79.9508008989,3.5,5,1,"Coffee & Tea, Convenience Stores, Food"
Cvs Pharmacy,4725 Centre Ave,Pittsburgh,PA,15213,40.4533081,-79.9490476,2.5,3,0,"Drugstores, Shopping"
Biketek Pittsburgh,5842 Forbes Ave,Pittsburgh,PA,15217,40.4378503,-79.9212649,4.5,21,1,"Bike Repair\/Maintenance, Local Services, Bikes, Sporting Goods, Active Life, Shopping, Bike Rentals"
Subway,3707 Forbes Ave,Pittsburgh,PA,15213,40.4414535,-79.9574563,3.5,4,1,"Sandwiches, Fast Food, Restaurants"
The Doner Kebab House,424 Semple St,Pittsburgh,PA,15213,40.4364494,-79.9544242,3.5,4,0,"Restaurants, Turkish"
Ash Kris Pizza,3507 Cable Pl,Pittsburgh,PA,15213,40.4366326,-79.953824,3.5,3,1,"Mediterranean, Restaurants, Chicken Wings, Pizza"
Carnegie Mellon University,5000 Forbes Ave,Pittsburgh,PA,15213,40.4441647,-79.9433725,4.5,37,1,"Colleges & Universities, Education"
