Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng,crime_percentage,restaurant_num,restaurant_star,trans_time_driv,trans_time_walk,trans_time_bike
15213,3408 Parkview Avenue Apartments,"Oakland, Pittsburgh, PA",795 - 1395,1-3,1,,Y,N,40.4306925,-79.9527988,0.026561,7,3.642857142857143,6.0,19.0,7.0
15213,Dawson Village Apartments,"Oakland, Pittsburgh, PA",920,1,1,,Y,N,40.4389909,-79.9528168,0.026561,49,3.704081632653061,5.0,20.5,6.0
15213,Centre Towers Apartments,"Shadyside, Pittsburgh, PA",780 - 955,Studio-1,1,,N,N,40.452776,-79.947715,0.026561,39,3.1153846153846154,5.0,18.0,7.0
15213,The Camelot Apartments,"North Oakland, Pittsburgh, PA",1392 - 2088,2,1-2,,N,N,40.450925,-79.952523,0.026561,61,3.459016393442623,6.0,13.5,6.0
15213,Schenley Apartments,"North Oakland, Pittsburgh, PA",1395 - 2750,1-2,1-2,,Y,N,40.450199,-79.954562,0.026561,25,3.42,5.5,16.5,6.0
15213,Oak Hill Apartments - Pittsburgh,"Terrace Village, Pittsburgh, PA",1080 - 1600,1-2,1-2,,Y,N,40.442811799999994,-79.97065289999998,0.026561,1,1.0,10.5,31.0,11.5
15213,Royal Windsor Apartments,"North Oakland, Pittsburgh, PA",825 - 969,Studio-1,1,,N,N,40.4508529,-79.94982910000002,0.026561,69,3.420289855072464,6.5,13.0,6.5
15213,University Commons Apartments,"North Oakland, Pittsburgh, PA",870 - 945,1,1,,N,N,40.4390875,-79.9633696,0.026561,23,3.3260869565217392,9.0,24.0,8.5
15213,Neville Street Properties - Student Housing,"North Oakland, Pittsburgh, PA",1030,1,1,,N,N,40.44941,-79.94888900000001,0.026561,88,3.3068181818181817,4.5,12.5,4.0
15213,Sherwood Towers Apartments,"North Oakland, Pittsburgh, PA",1158 - 2497,Studio-3,1-2,,Y,N,40.45095870000001,-79.9511017,0.026561,69,3.398550724637681,4.5,12.5,4.0
15213,University Loft Apartments,"Oakland, Pittsburgh, PA",2575,3,2,,N,N,40.4386951,-79.952362,0.026561,42,3.7857142857142856,3.5,14.5,6.0
15213,Chalfont Apartments,"Shadyside, Pittsburgh, PA",Contact For Price,Studio-2,1-2,,Y,N,40.452627,-79.948037,0.026561,43,3.197674418604651,5.0,17.5,6.5
15213,Hampshire Hall Apartments,"Shadyside, Pittsburgh, PA",530 - 625,Studio-1,1,,N,Y,40.452626,-79.94836099999998,0.026561,50,3.24,5.0,17.0,6.5
15213,Webster Hall Apartments,"North Oakland, Pittsburgh, PA",1850,2,2,,N,N,40.4468884,-79.95113719999998,0.026561,61,3.5245901639344264,5.5,8.0,3.5
15213,3445 Parkview Ave #HOUSE,"Oakland, Pittsburgh, PA",2600,5,2.5,,N,N,40.4356845,-79.95212029999998,0.026561,18,3.861111111111111,3.0,19.0,7.0
15213,3201 Ophelia St,"Oakland, Pittsburgh, PA",1425,3,1,,N,N,40.43478899999999,-79.962233,0.026561,18,3.4722222222222223,8.5,26.0,9.0
15213,352 Melwood Ave,"North Oakland, Pittsburgh, PA",900,2,1,,Y,N,40.453871,-79.95156659999998,0.026561,59,3.5,6.0,17.5,6.5
15213,335 Melwood Ave,"North Oakland, Pittsburgh, PA",850,2,1,,N,N,40.4531383,-79.95174639999998,0.026561,59,3.5,6.0,17.0,6.5
15213,514 Semple St #2,"Oakland, Pittsburgh, PA",1200,2,1,,N,N,40.4361801,-79.95347890000001,0.026561,41,3.6951219512195124,4.5,18.0,6.5
15213,3237 Dawson St #2,"Oakland, Pittsburgh, PA",650,1,1,,N,Y,40.43096449999999,-79.95422190000001,0.026561,7,3.357142857142857,4.0,25.0,8.0
15213,3753 Childs St,"Oakland, Pittsburgh, PA",2250,4,2.5,1836.0,N,N,40.4294078,-79.9512934,0.026561,4,4.25,5.5,25.5,9.5
15213,3329 Parkview Ave,"Oakland, Pittsburgh, PA",2200,4,2,1300.0,N,N,40.432633200000005,-79.95298580000001,0.026561,24,3.7708333333333335,4.0,20.0,9.0
15213,236 Meyran Ave #1,"Oakland, Pittsburgh, PA",1175,2,1,450.0,N,Y,40.439461,-79.957284,0.026561,145,3.43448275862069,5.5,16.5,5.5
15213,341 Meyran Ave #1,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.438387299999995,-79.9553181,0.026561,111,3.5135135135135136,4.0,19.0,6.5
15213,3821 Bates St #2,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.439357799999996,-79.952867,0.026561,53,3.688679245283019,3.0,14.5,5.0
15213,514 Semple St #1A,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.4361801,-79.95347890000001,0.026561,41,3.6951219512195124,4.5,18.0,6.5
15213,3731 Dawson St #1,"Oakland, Pittsburgh, PA",1800,4,1,,N,N,40.4381961,-79.95214890000001,0.026561,24,3.7916666666666665,3.5,15.0,6.0
15213,309 McKee Pl,"Oakland, Pittsburgh, PA",1750,3,1,,N,N,40.43830620000001,-79.95706290000001,0.026561,146,3.462328767123288,5.5,19.5,6.0
15213,512 Semple St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,Y,40.436156,-79.9536384,0.026561,43,3.7093023255813953,4.5,18.0,7.0
15213,375 Meyran Ave #3,"Oakland, Pittsburgh, PA",700,1,1,,N,N,40.437767799999996,-79.95450629999998,0.026561,72,3.5694444444444446,4.0,18.0,6.5
15213,3292 Dawson St,"Oakland, Pittsburgh, PA",1800,3,1,1380.0,N,N,40.4327008,-79.9533478,0.026561,25,3.72,3.5,22.5,7.0
15213,15 Oakland Sq,"Oakland, Pittsburgh, PA",2800,4,2,2607.0,N,N,40.4367289,-79.9516431,0.026561,9,3.7777777777777777,4.5,17.0,6.5
15213,336 Oakland Ave #2,"Oakland, Pittsburgh, PA",1400,2,1,,N,Y,40.4392935,-79.95451229999998,0.026561,85,3.588235294117647,4.0,15.0,5.5
15213,420 Oakland Ave,"Oakland, Pittsburgh, PA",1450,2,1,,N,Y,40.4380938,-79.95280059999999,0.026561,45,3.6222222222222222,4.0,16.0,6.0
15213,3460 Dawson St #1,"Oakland, Pittsburgh, PA",2400,4,1,,N,N,40.4360788,-79.95263969999998,0.026561,31,3.6774193548387095,4.0,17.5,6.5
15213,3359 Parkview Ave,"Oakland, Pittsburgh, PA",1650,3,1,1100.0,N,N,40.4333579,-79.9526375,0.026561,25,3.72,4.5,19.0,8.0
15213,3612 Dawson Street,"Oakland, Pittsburgh, PA",1950,3,1,,N,N,40.4367014,-79.95234239999998,0.026561,29,3.7241379310344827,4.0,16.5,6.5
15213,416 Oakland Ave #6,"Oakland, Pittsburgh, PA",1950,3,1,,N,N,40.4382094,-79.95317209999999,0.026561,50,3.65,4.0,16.0,6.5
15213,3349 1/2 Parkview Ave,"Oakland, Pittsburgh, PA",1800,3,1.5,1050.0,N,N,40.433145,-79.9526812,0.026561,25,3.66,4.5,19.5,8.5
15213,3201 Joe Hammer Sq,"Oakland, Pittsburgh, PA",1575,3,1,950.0,N,N,40.4347773,-79.962215,0.026561,19,3.5,8.5,28.5,9.0
15213,416 Oakland Ave #4,"Oakland, Pittsburgh, PA",1875,3,1,,N,N,40.4382094,-79.95317209999999,0.026561,50,3.65,4.0,16.0,6.5
15213,3212 Kennett Sq,"Oakland, Pittsburgh, PA",1860,3,1,1200.0,N,N,40.4345369,-79.96105920000001,0.026561,21,3.4047619047619047,8.0,27.5,9.0
15213,420 Semple St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,N,40.436513500000004,-79.9545078,0.026561,61,3.5901639344262297,5.0,19.0,7.0
15213,3530 Louisa St #4,"Oakland, Pittsburgh, PA",1695,2,1,700.0,N,N,40.438725,-79.957257,0.026561,140,3.4178571428571427,5.0,18.0,6.0
15213,3271 Kennett Sq,"Oakland, Pittsburgh, PA",1400,2,1,1248.0,N,N,40.434626,-79.960505,0.026561,21,3.4047619047619047,8.0,27.5,8.5
15213,3709 Dawson St #3,"Oakland, Pittsburgh, PA",750,Studio,1,400.0,N,N,40.4376042,-79.9525282,0.026561,32,3.671875,3.5,15.5,6.0
15213,369 Meyran Ave,"Oakland, Pittsburgh, PA",3000,4,2,1642.0,N,N,40.43786850000001,-79.95464809999999,0.026561,83,3.4879518072289155,4.0,18.0,6.5
15213,3325 1/2 Parkview Ave,"Oakland, Pittsburgh, PA",1650,3,1,,N,N,40.433145,-79.9526812,0.026561,25,3.66,4.5,19.5,8.5
15213,401 N Neville St #C,"Shadyside, Pittsburgh, PA",675,Studio,1,,N,N,40.4514169,-79.94884559999998,0.026561,57,3.2280701754385963,4.5,14.0,6.0
15213,144 N Dithridge St,"North Oakland, Pittsburgh, PA",1700,2,1,983.0,N,Y,40.4482339,-79.950786,0.026561,100,3.52,5.0,9.5,3.5
15213,3530 Louisa St #18,"Oakland, Pittsburgh, PA",1060,1,1,410.0,N,N,40.438725,-79.957257,0.026561,140,3.4178571428571427,5.0,18.0,6.0
15213,3707 Dawson St,"Oakland, Pittsburgh, PA",2025,3,1,1100.0,N,N,40.437432,-79.95247359999998,0.026561,29,3.689655172413793,3.5,15.5,6.0
15213,15 Boundary St #1,"Oakland, Pittsburgh, PA",2595,4,2,1350.0,N,N,40.4393701,-79.951206,0.026561,23,4.021739130434782,4.0,11.5,7.5
15213,3325 Parkview Ave #1,"Oakland, Pittsburgh, PA",2000,4,1.5,,N,N,40.432534999999994,-79.952893,0.026561,24,3.7708333333333335,4.0,20.0,9.0
15213,360 Ophelia St,"Oakland, Pittsburgh, PA",2100,4,2,1500.0,N,N,40.433921500000004,-79.9609315,0.026561,12,3.125,7.0,28.0,9.0
15213,3705 Dawson St,"Oakland, Pittsburgh, PA",2100,3,1,1000.0,N,N,40.4373142,-79.9525048,0.026561,29,3.689655172413793,3.5,16.0,6.0
15213,355 Oakland Ave #1B,"Oakland, Pittsburgh, PA",800,Studio,1,,N,Y,40.439083399999994,-79.9534988,0.026561,53,3.6792452830188678,3.5,15.0,6.0
15213,331 Atwood St,"Oakland, Pittsburgh, PA",3900,6,3,2958.0,N,Y,40.439111100000005,-79.95489520000001,0.026561,104,3.5336538461538463,4.5,17.5,5.5
15213,336 Oakland Ave #3F,"Oakland, Pittsburgh, PA",800,Studio,1,,N,Y,40.4392935,-79.95451229999998,0.026561,85,3.588235294117647,4.0,15.0,5.5
15213,3614 Dawson Street,"Oakland, Pittsburgh, PA",1800 - 2000,3-4,1,,N,N,40.436766799999994,-79.95229479999998,0.026561,27,3.759259259259259,4.0,16.5,6.5
15213,3222 Kennett Sq,"Oakland, Oakland, PA",880,1,1,,N,N,40.434603700000004,-79.9610141,0.026561,21,3.4047619047619047,8.0,27.5,8.5
15213,416 Oakland Ave #5,"Oakland, Pittsburgh, PA",1950,3,2,,N,N,40.4382094,-79.95317209999999,0.026561,50,3.65,4.0,16.0,6.5
15213,3322 Juliet St #1,"Oakland, Pittsburgh, PA",2100,4,2,,N,N,40.43385120000001,-79.95602490000002,0.026561,31,3.5,3.5,24.0,9.0
15213,3408 Juliet St #1,"Oakland, Pittsburgh, PA",2100,4,2,,N,N,40.434332299999994,-79.95589369999998,0.026561,38,3.6052631578947367,3.5,23.5,8.5
15213,3410 Juliet St #1,"Oakland, Pittsburgh, PA",2100,4,2,,N,N,40.434387,-79.95589340000001,0.026561,38,3.6052631578947367,3.5,23.5,8.5
15213,335 Meyran Ave,"Oakland, Pittsburgh, PA",3900,6,3,,N,N,40.43854,-79.95546089999998,0.026561,116,3.5258620689655173,4.0,18.5,6.5
15213,416 Oakland Ave #7,"Oakland, Pittsburgh, PA",1875,3,1,,N,N,40.4382094,-79.95317209999999,0.026561,50,3.65,4.0,16.0,6.5
15213,225 Melwood Ave #15,"North Oakland, Pittsburgh, PA",1100,1,1,776.0,Y,N,40.4507921,-79.9504848,0.026561,72,3.3819444444444446,6.5,13.0,6.5
15213,415 Semple St #2,"Oakland, Pittsburgh, PA",3300,6,2,,N,N,40.436943,-79.954341,0.026561,57,3.6491228070175437,5.0,19.5,7.0
15213,3716 Orpwood St #1,"Oakland, Pittsburgh, PA",425,,,,N,N,40.4294131,-79.95276989999998,0.026561,4,4.25,5.0,24.5,9.0
15213,515 Cato St #3,"Oakland, Pittsburgh, PA",800,,,,N,Y,40.433290500000005,-79.9556971,0.026561,29,3.5517241379310347,4.0,24.5,9.0
